ÈÕÆÚ,sale_cnt,price
2020/11/9,40000,83.6
2020/11/10,40000,83.33333333
2020/11/12,10000,84
2020/11/16,65000,83
2020/11/18,20000,83
2020/11/19,2000,84
2020/11/23,41000,83
2020/11/24,5000,84
2020/11/25,2000,84
2020/11/26,23000,83.5
2020/11/27,6000,84.5
2020/12/1,80000,83
2020/12/2,71000,82.5
2020/12/3,16000,83.66666667
2020/12/4,20000,83
2020/12/7,86000,83.33333333
2020/12/8,63000,83.33333333
2020/12/9,5000,84
2020/12/14,20000,84
2021/1/21,10000,100
2021/1/29,10000,90
2021/2/24,5000,100
2021/2/25,15000,100
2021/2/26,10000,100
2021/3/1,20000,100
2021/3/2,40000,100
2021/3/3,20000,100
2021/3/8,37000,100
2021/3/17,40000,100
2021/4/19,15000,120
2021/4/29,30000,120
2021/6/1,40000,85
2021/7/16,40,95
2021/7/26,17000,85
2021/8/2,3000,83.5
2021/8/3,1000,85
2021/8/4,5000,86
2021/8/9,30000,83
2021/8/11,30000,85
2021/8/13,10000,85
2021/8/20,15000,85
2021/8/24,5000,85
2021/8/25,5000,85
2021/8/27,42080,84
2021/9/7,10000,85
2021/9/8,35000,84.66666667
2021/9/9,30000,85
2021/9/14,10000,85
2021/9/17,10000,85
2021/9/18,32000,85
2021/9/22,5000,85
2021/9/23,20000,85
2021/9/26,20000,85
2021/9/28,10000,85
2021/9/30,4340,90
2021/11/12,20000,95
2021/11/17,10000,95
2021/12/16,22000,60
2021/12/23,40000,60
2021/12/24,10000,60
2021/12/27,10000,60
2022/1/11,10000,90
2022/1/19,25000,90
2022/2/9,30000,90
2022/2/10,20000,90
2022/2/15,52000,87.6
2022/2/16,30000,87
2022/2/17,12000,88
2022/2/18,40000,85
2022/2/22,2000,87
2022/2/23,10000,87
2022/2/24,10000,87.5
2022/2/25,5000,87
2022/3/2,5000,86
2022/3/4,45300,84
2022/3/8,10000,86
2022/3/9,6000,86.5
2022/3/10,31000,85.5
2022/3/11,15000,85
2022/3/14,10000,85
2022/3/15,92000,85.95
2022/3/16,10000,86
2022/3/21,7000,85.5
2022/3/22,20000,86
2022/3/24,15000,86
2022/3/25,70000,86
2022/3/29,11000,88
2022/4/19,3000,88
2022/4/20,35000,87
2022/4/21,15000,87
2022/4/22,15000,87.5
2022/6/2,20000,90
2022/6/9,2000,90
2022/6/10,2000,90
